AC_No,AC_Name,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Share_%,Source_URL,Rank_In_Constituency
80,Benipur,CHUN CHUN JHA,Independent,6531,1,6532,3.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,4
80,Benipur,AVADHESH KUMAR JHA,Independent,5400,28,5428,2.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,5
80,Benipur,MAHENDRA NARAYAN MAHTO,Independent,4457,0,4457,2.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,6
80,Benipur,NOTA,None of the Above,3103,5,3108,1.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,7
80,Benipur,PRAMOD PASWAN,Bahujan Samaj Party,1992,9,2001,1.06,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,8
80,Benipur,IMTIYAZ AHMAD,Independent,1419,3,1422,0.75,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,9
80,Benipur,SIYA LAKHAN YADAV,Open people's Party,862,1,863,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,10
80,Benipur,VIDYANAND RAM,Wazib Adhikar Party,815,1,816,0.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,11
80,Benipur,PRAMILA JHA,Bhartiya Mahasangh Party,712,2,714,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,12
80,Benipur,AMARJEE MISHRA,Independent,697,2,699,0.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,13
80,Benipur,PRAMOD KUMAR SAHU,Rashtriya Samajwadi Lok Adhikar Party,564,1,565,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,14
80,Benipur,SHANKAR DOM URF SHANKAR MALLIK,Aam Janta Pragati Party,391,1,392,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0480.htm,15
81,Alinagar,MAITHILI THAKUR,Bharatiya Janata Party,84611,304,84915,49.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,1
81,Alinagar,BINOD MISHRA,Rashtriya Janata Dal,72639,546,73185,42.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,2
81,Alinagar,NOTA,None of the Above,4748,3,4751,2.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,3
81,Alinagar,SAIFUDDIN AHMED,Independent,2792,11,2803,1.62,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,4
81,Alinagar,BIPLAW KUMAR CHOUDHARY,Jan Suraaj Party,2259,16,2275,1.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,5
81,Alinagar,RAJIPAL JHA,Aam Aadmi Party,1484,0,1484,0.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,6
81,Alinagar,HARI LAL SHARMA,Independent,869,1,870,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,7
81,Alinagar,CHANDU CHAUDHRY,Independent,776,2,778,0.45,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,8
81,Alinagar,NAVIJAN ANSARI,Aam Janta Pragati Party,671,0,671,0.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,9
81,Alinagar,SANJAY KUMAR JHA,Mithilawadi party,418,4,422,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,10
81,Alinagar,SITAMBAR SHARMA,Jagrook Janta Party,331,0,331,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,11
81,Alinagar,GANESH CHOUDHARY,Independent,317,3,320,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,12
81,Alinagar,NOORUDDIN ZANGI,Social Democratic Party Of India,310,2,312,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0481.htm,13
82,Darbhanga Rural,RAJESH KUMAR MANDAL,Janata Dal (United),80355,269,80624,44.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,1
82,Darbhanga Rural,LALIT KUMAR YADAV,Rashtriya Janata Dal,61902,330,62232,34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,2
82,Darbhanga Rural,MD JALALUDDIN SAHIL,All India Majlis-E-Ittehadul Muslimeen,16966,42,17008,9.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,3
82,Darbhanga Rural,SHYAM PASWAN,Independent,4637,1,4638,2.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,4
82,Darbhanga Rural,NOTA,None of the Above,4510,6,4516,2.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,5
82,Darbhanga Rural,SHOAIB AHMED KHAN,Jan Suraaj Party,3792,22,3814,2.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,6
82,Darbhanga Rural,RAM SUKAMAR YADAV,Independent,2900,1,2901,1.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,7
82,Darbhanga Rural,JAI KISHUN SAHNI,Independent,2330,0,2330,1.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,8
82,Darbhanga Rural,JAGAT NARAYAN NAYAK,Bahujan Samaj Party,2117,1,2118,1.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,9
82,Darbhanga Rural,MOHAMMAD KALAM,Bharat Jan Jagran Dal,744,0,744,0.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,10
82,Darbhanga Rural,ABDUL QUDDUS,Independent,638,1,639,0.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,11
82,Darbhanga Rural,UDAY CHANDRA CHAUPAL,Independent,585,0,585,0.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,12
82,Darbhanga Rural,PRADEEP KUMAR MISHRA,Aam Janta Pragati Party,471,1,472,0.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,13
82,Darbhanga Rural,ROSHAN,Vikas Insaf Party,427,0,427,0.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0482.htm,14
83,Darbhanga,SANJAY SARAOGI,Bharatiya Janata Party,96952,501,97453,49.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,1
83,Darbhanga,UMESH SAHANI,Vikassheel Insaan Party,72465,395,72860,37.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,2
83,Darbhanga,RAKESH KUMAR MISHRA,Jan Suraaj Party,11610,148,11758,5.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,3
83,Darbhanga,MD NAFISUL HAQUE,Independent,2270,44,2314,1.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,4
83,Darbhanga,MD SHAQUIB NAJMI,Akhil Bharatiya Socialist Party,1853,3,1856,0.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,5
83,Darbhanga,ABHISHEK KUMAR JHA,Mithilawadi party,1624,4,1628,0.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,6
83,Darbhanga,ASHISH RANJAN,Aam Janta Pragati Party,1511,2,1513,0.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,7
83,Darbhanga,NOTA,None of the Above,1453,15,1468,0.75,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,8
83,Darbhanga,PUSHPAM PRIYA,The Plurals Party,1396,7,1403,0.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,9
83,Darbhanga,SUJEET KUMAR CHAUDHARY,Independent,1363,0,1363,0.69,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,10
83,Darbhanga,DURGA NANDA MAHAVIR NAYAK,Bahujan Samaj Party,938,15,953,0.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,11
83,Darbhanga,RANJEET KUMAR RAM,Wazib Adhikar Party,851,1,852,0.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,12
83,Darbhanga,MOHAMMAD AMAJAD KHAN,Independent,465,5,470,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,13
83,Darbhanga,MOJAHID ALAM,Socialist Unity Centre Of India (COMMUNIST),343,2,345,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0483.htm,14
84,Hayaghat,RAM CHANDRA PRASAD,Bharatiya Janata Party,76915,307,77222,45.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,1
84,Hayaghat,SHYAM BHARTI,Communist Party of India (Marxist),64951,432,65383,38.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,2
84,Hayaghat,PRATIBHA SINGH,Jan Suraaj Party,5675,84,5759,3.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,3
84,Hayaghat,MOHAMMAD MAHTAB ALAM,Independent,3665,2,3667,2.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,4
84,Hayaghat,PROBHENDRA JHA,Independent,3576,2,3578,2.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,5
84,Hayaghat,NOTA,None of the Above,2762,5,2767,1.64,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,6
84,Hayaghat,LAKSHMI DAS,Independent,2371,8,2379,1.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,7
84,Hayaghat,RAVINDRA NATH SINGH,Aam Aadmi Party,1906,16,1922,1.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,8
84,Hayaghat,JAGNNATH SINGH,Janshakti Janta Dal,1461,4,1465,0.87,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,9
84,Hayaghat,IRSHAD ALI,Desh Janhit Party,1195,5,1200,0.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,10
84,Hayaghat,HARSHA NARAYAN PANDIT,Bhagidari Party(P),1135,2,1137,0.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,11
84,Hayaghat,NAGESHWAR DAS,Bahujan Samaj Party,1107,8,1115,0.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,12
84,Hayaghat,NARESH KUMAR NAWAL,Independent,999,2,1001,0.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,13
84,Hayaghat,USHA AKELA,Independent,437,3,440,0.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0484.htm,14
85,Bahadurpur,MADAN SAHNI,Janata Dal (United),95949,351,96300,45.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,1
85,Bahadurpur,BHOLA YADAV,Rashtriya Janata Dal,83881,408,84289,39.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,2
85,Bahadurpur,RAM CHATUR SAHNI,Independent,6311,1,6312,2.97,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,3
85,Bahadurpur,MOHAMMAD AMIR HAIDER,Jan Suraaj Party,5547,32,5579,2.62,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,4
85,Bahadurpur,PRANAY PRABHAKAR,Bahujan Samaj Party,2744,15,2759,1.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,5
85,Bahadurpur,VINAI KUMAR SINGH,Independent,2376,3,2379,1.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,6
85,Bahadurpur,RAM GULAM THAKUR,Independent,2319,1,2320,1.09,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,7
85,Bahadurpur,NOTA,None of the Above,1979,14,1993,0.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,8
85,Bahadurpur,DILEEP KUMAR,Independent,1768,10,1778,0.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,9
85,Bahadurpur,SANJAY PRASAD OJHA,Independent,1712,0,1712,0.8,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,10
85,Bahadurpur,SURESH PRASAD SINGH,Rashtriya Lok Janshakti Party,1582,4,1586,0.75,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,11
85,Bahadurpur,ANJU DEVI,Bhagidari Party(P),1466,2,1468,0.69,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,12
85,Bahadurpur,UMESH CHOUDHARY,Independent,1253,9,1262,0.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,13
85,Bahadurpur,SANJAY KUMAR SINGH,Independent,816,0,816,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,14
85,Bahadurpur,RANJEET SHARMA,Gantantrik Samaj Party,766,2,768,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,15
85,Bahadurpur,BIRENDRA KUMAR PASWAN,Republican Party of India (Bhimrao Ambedkar),733,4,737,0.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,16
85,Bahadurpur,ASAD ALI,Independent,403,1,404,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,17
85,Bahadurpur,RAJNISH KUMAR,Jantantra Awaj Party,401,0,401,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0485.htm,18
86,Keoti,MURARI MOHAN JHA,Bharatiya Janata Party,88908,215,89123,46.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,1
86,Keoti,FARAZ FATMI,Rashtriya Janata Dal,81470,348,81818,42.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,2
86,Keoti,MOHAMMAD ANISUR RAHMAN,All India Majlis-E-Ittehadul Muslimeen,7465,9,7474,3.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,3
86,Keoti,BILTU SAHNI,Jan Suraaj Party,4792,24,4816,2.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,4
86,Keoti,DHIRENDRA KUMAR DHEERAJ,Independent,3886,9,3895,2.02,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,5
86,Keoti,NOTA,None of the Above,2453,1,2454,1.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,6
86,Keoti,MANOJ KUMAR MAHTO,Bahujan Samaj Party,962,2,964,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,7
86,Keoti,BALARAM THAKUR,Independent,736,1,737,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,8
86,Keoti,GULAB BABU RAIN,Independent,541,0,541,0.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,9
86,Keoti,YOGESH RANJAN,Proutist Sarva Samaj,455,5,460,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,10
86,Keoti,MOHAMMAD PINTU KHAN,Akhil Bharatiya Socialist Party,306,0,306,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0486.htm,11
87,Jale,JIBESH KUMAR,Bharatiya Janata Party,100289,207,100496,50.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,1
87,Jale,RISHI MISHRA,Indian National Congress,78363,271,78634,39.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,2
87,Jale,RANJIT SHARMA,Jan Suraaj Party,5130,20,5150,2.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,3
87,Jale,FAISHAL RAHMAN,All India Majlis-E-Ittehadul Muslimeen,4657,9,4666,2.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,4
87,Jale,MASKOOR AHMAD USMANI,Independent,4576,29,4605,2.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,5
87,Jale,NOTA,None of the Above,2804,4,2808,1.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,6
87,Jale,MOHAMMAD PIYARE,Independent,1865,0,1865,0.93,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,7
87,Jale,ROHIT KUMAR,Bahujan Samaj Party,1243,3,1246,0.62,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,8
87,Jale,SYED MD MAHTAB,The Plurals Party,501,1,502,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,9
87,Jale,MUMTAZ ALI,Jan Mithila Vikas Party,393,0,393,0.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0487.htm,10
88,Gaighat,KOMAL SINGH,Janata Dal (United),107845,259,108104,48.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,1
88,Gaighat,NIRANJAN ROY,Rashtriya Janata Dal,84366,321,84687,37.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,2
88,Gaighat,ASHOK KUMAR SINGH,Jan Suraaj Party,10718,72,10790,4.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,3
88,Gaighat,SUBODH KUMAR SINGH,Independent,6156,1,6157,2.75,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,4
88,Gaighat,NOTA,None of the Above,3778,10,3788,1.69,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,5
88,Gaighat,MITHILESH MANJHI,Independent,3263,1,3264,1.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,6
88,Gaighat,KUNAL KUMAR,Jan Sahmati Party,2966,3,2969,1.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,7
88,Gaighat,ISHRAT PERWEEN,Bahujan Samaj Party,2787,7,2794,1.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,8
88,Gaighat,UMESH PRASAD SINGH,Janshakti Janta Dal,1223,3,1226,0.55,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0488.htm,9
89,Aurai,RAMA NISHAD,Bharatiya Janata Party,103893,192,104085,50.06,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0489.htm,1
89,Aurai,BHOGENDRA SAHNI,Vikassheel Insaan Party,46691,188,46879,22.55,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0489.htm,2
89,Aurai,MD. AFTAB ALAM,Aazad Samaj Party (Kanshi Ram),31363,67,31430,15.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0489.htm,3
89,Aurai,AKHILESH KUMAR,Independent,8893,22,8915,4.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0489.htm,4
89,Aurai,RADHA RAMAN,Jan Suraaj Party,8648,57,8705,4.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0489.htm,5
89,Aurai,NOTA,None of the Above,3436,7,3443,1.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0489.htm,6
89,Aurai,SHEO SHANKAR GUPTA,Aam Aadmi Party,3325,8,3333,1.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0489.htm,7
89,Aurai,HARISCHANDRA PRASAD YADAV,Independent,1125,5,1130,0.54,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0489.htm,8
90,Minapur,AJAY KUMAR,Janata Dal (United),113091,320,113411,51.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,1
90,Minapur,RAJEEV KUMAR URF MUNNA YADAV,Rashtriya Janata Dal,78926,247,79173,36.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,2
90,Minapur,NOTA,None of the Above,7800,5,7805,3.55,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,3
90,Minapur,TEJ NARAYAN SAHNI,Jan Suraaj Party,6608,25,6633,3.02,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,4
90,Minapur,KUMAR PUSHPENDRA,Bahujan Samaj Party,3160,2,3162,1.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,5
90,Minapur,SANJIV CHAUDHRI,Independent,2649,5,2654,1.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,6
90,Minapur,SANTOSH KUMAR,Independent,2177,2,2179,0.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,7
90,Minapur,JITENDRA PRASAD,Rashtriya Jansambhavna Party,1502,0,1502,0.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,8
90,Minapur,SHIV KUMAR YADAV,Socialist Unity Centre Of India (COMMUNIST),1049,1,1050,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,9
90,Minapur,DHARMVIR KUMAR SHARMA,Jagrook Janta Party,806,1,807,0.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,10
90,Minapur,DEENANATH PRASAD,Independent,750,0,750,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,11
90,Minapur,RAMESH KUMAR,Independent,714,3,717,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0490.htm,12
91,Bochahan,BABY KUMARI,Lok Janshakti Party (Ram Vilas),107892,294,108186,49.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,1
91,Bochahan,AMAR KUMAR PASWAN,Rashtriya Janata Dal,87508,362,87870,40.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,2
91,Bochahan,UMESH KUMAR RAJAK,Jan Suraaj Party,5207,48,5255,2.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,3
91,Bochahan,NOTA,None of the Above,3805,10,3815,1.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,4
91,Bochahan,RAJGEER PASWAN,Bajjikanchal Vikas Party,3811,1,3812,1.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,5
91,Bochahan,DEEPMALA DEVI,Independent,2926,2,2928,1.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,6
91,Bochahan,DR. ABHAY KUMAR,Aam Aadmi Party,2725,6,2731,1.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,7
91,Bochahan,JAYMANGAL RAM,Rashtriya Jansambhavna Party,2278,2,2280,1.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,8
91,Bochahan,RAHUL KUMAR,Bahujan Samaj Party,1972,4,1976,0.9,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0491.htm,9
92,Sakra,ADITYA KUMAR,Janata Dal (United),98485,238,98723,47.9,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,1
92,Sakra,UMESH KUMAR RAM,Indian National Congress,83403,270,83673,40.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,2
92,Sakra,RENU KUMARI URF RENU PASWAN,Jan Suraaj Party,6372,42,6414,3.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,3
92,Sakra,SATEESH KUMAR,Independent,3594,0,3594,1.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,4
92,Sakra,NOTA,None of the Above,3527,8,3535,1.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,5
92,Sakra,SACHINDRA KUMAR,Independent,3438,3,3441,1.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,6
92,Sakra,RAM SEWAK PASWAN,Socialist Unity Centre Of India (COMMUNIST),3058,1,3059,1.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,7
92,Sakra,ASHOK KUMAR,Bahujan Samaj Party,2556,8,2564,1.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,8
92,Sakra,SHIV NARAYAN,Samata Party,1105,0,1105,0.54,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0492.htm,9
93,Kurhani,KEDAR PD GUPTA,Bharatiya Janata Party,107493,318,107811,46.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,1
93,Kurhani,SUNIL KUMAR SUMAN,Rashtriya Janata Dal,97685,408,98093,42.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,2
93,Kurhani,DHARMENDRA KUMAR,Independent,6712,21,6733,2.9,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,3
93,Kurhani,MOHAMMAD ALI IRFAN,Jan Suraaj Party,4039,36,4075,1.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,4
93,Kurhani,MANISH KUMAR,Independent,3363,5,3368,1.45,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,5
93,Kurhani,VIJAYESH KUMAR,Bahujan Samaj Party,2109,8,2117,0.91,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,6
93,Kurhani,SANJEET KUMAR JHA,Independent,1845,0,1845,0.8,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,7
93,Kurhani,SUMIT KUMAR JHA,Independent,1208,1,1209,0.52,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,8
93,Kurhani,PRAMOD KUMAR SHARMA,Independent,838,1,839,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,9
93,Kurhani,AJAY KUMAR SAHANI,Socialist Party (India),793,1,794,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,10
93,Kurhani,DINESH KUMAR RAY,Independent,769,2,771,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,11
93,Kurhani,NOTA,None of the Above,721,8,729,0.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,12
93,Kurhani,ALOK KUMAR SINGH,Rashtriya Jansambhavna Party,555,0,555,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,13
93,Kurhani,MD GULAM MASOOM,Janshakti Janta Dal,521,3,524,0.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,14
